"YYYY","avg_atmp","avg_wtmp"
"1987",1.7910481331534,4.35666516719148
"1988",2.45098883201489,4.61199395067473
"1989",3.39997639560958,4.8819544435265
"1990",2.90151140423193,4.91907117339929
"1991",0.418180136859626,3.27201775476235
"1992",2.63378268448576,4.80138291690877
"1993",3.30825870646766,4.88215174129353
"1994",2.48300528789659,4.60913631022327
"1995",4.35484245439469,5.88484245439469
"1996",2.75096153846154,4.14205955334988
"1997",3.55005936832106,5.4710995013061
"1998",2.30320803232521,4.50933023141913
"1999",2.15527950310559,4.1761516563147
"2000",3.11609688581315,4.71928027681661
"2001",0.208197674418605,3.44313953488372
"2002",4.61640971488912,6.39457233368532
"2003",4.21735745362949,5.78184108083352
"2004",3.93080168776371,5.64007298437678
"2005",3.62041166380789,5.24958261863922
"2006",2.85568848498792,5.1344875186932
"2007",0.81790415119811,3.23891326358421
"2008",2.58869764773379,4.85067125645439
"2009",0.624951418577536,2.94642440730665
"2010",0.59664504585104,3.00404831133975
"2011",1.37360824742268,2.60113402061856
"2012",3.49985000576901,5.22662974500981
"2013",4.44782203587235,5.92759142790589
"2014",4.99967797869705,6.34718850631657
"2015",4.16575154426905,5.90896819949668
"2016",4.74968560649365,6.28945924316909
"2017",4.81608910891089,6.15711928335691
